page_type,지역명,학교명,학교급,학년표현,과목표현,내신사용,display_keyword,compact_keyword,slug,title,title_core_terms,body_core_terms,description_core_terms,is_valid,validation_note
region,고운동,,,,영어,true,고운동 영어 내신과외,고운동영어내신과외,고운동영어내신과외,고운동 영어 내신과외 기초부터 차근차근 점검하는 공부 방향을 살펴봅니다 학습 방향을 함께 살펴봅니다,고운동|영어|내신|과외,고운동|영어|내신|과외,고운동|영어|내신|과외,true,정상
region,화정동,,,,수학,true,화정동 수학 내신과외,화정동수학내신과외,화정동수학내신과외,화정동 수학 내신과외 서술 과정과 답의 근거를 함께 점검하는 학습 기록을 활용하는 방법을 정리합니다,화정동|수학|내신|과외,화정동|수학|내신|과외,화정동|수학|내신|과외,true,정상
region,가정동,,,,과학,true,가정동 과학 내신과외,가정동과학내신과외,가정동과학내신과외,가정동 과학 내신과외 풀이 근거와 판단 순서를 꼼꼼히 살피는 학습 기록을 활용하는 방법을 정리합니다,가정동|과학|내신|과외,가정동|과학|내신|과외,가정동|과학|내신|과외,true,정상
region,순천시,,,,국어,true,순천시 국어 내신과외,순천시국어내신과외,순천시국어내신과외,순천시 국어 내신과외 서술 과정과 답의 근거를 함께 점검하는 학습 기록을 활용하는 방법을 정리합니다,순천시|국어|내신|과외,순천시|국어|내신|과외,순천시|국어|내신|과외,true,정상
region,요촌동,,,,영수,true,요촌동 영수 내신과외,요촌동영수내신과외,요촌동영수내신과외,요촌동 영수 내신과외 집중 시간과 공부 분량을 알맞게 나누는 학습 기록을 활용하는 방법을 정리합니다,요촌동|영수|내신|과외,요촌동|영수|내신|과외,요촌동|영수|내신|과외,true,정상
region,서귀포시일주동,,,중등,,true,서귀포시일주동 중등 내신과외,서귀포시일주동중등내신과외,서귀포시일주동중등내신과외,서귀포시일주동 중등 내신과외 학습 부담을 나누어 꾸준히 이어가는 매일 실천할 공부 기준을 안내합니다,서귀포시일주동|중등|내신|과외,서귀포시일주동|중등|내신|과외,서귀포시일주동|중등|내신|과외,true,정상
region,불당동,,,중학생,,true,불당동 중학생 내신과외,불당동중학생내신과외,불당동중학생내신과외,불당동 중학생 내신과외 서술형과 단원별 복습 순서를 차분하게 정리합니다 학습 방향을 함께 살펴봅니다,불당동|중학생|내신|과외,불당동|중학생|내신|과외,불당동|중학생|내신|과외,true,정상
region,가경동,,,고등,,true,가경동 고등 내신과외,가경동고등내신과외,가경동고등내신과외,가경동 고등 내신과외 풀이 근거와 판단 순서를 꼼꼼히 살피는 학습 기록을 활용하는 방법을 정리합니다,가경동|고등|내신|과외,가경동|고등|내신|과외,가경동|고등|내신|과외,true,정상
region,입암동,,,고등학생,,true,입암동 고등학생 내신과외,입암동고등학생내신과외,입암동고등학생내신과외,입암동 고등학생 내신과외 목표와 실제 공부량을 함께 비교하는 취약 부분을 보완하는 흐름을 알아봅니다,입암동|고등학생|내신|과외,입암동|고등학생|내신|과외,입암동|고등학생|내신|과외,true,정상
region,인창동,,,중등,영어,true,인창동 중등 영어 내신과외,인창동중등영어내신과외,인창동중등영어내신과외,인창동 중등 영어 내신과외 단기 목표와 누적 복습을 함께 배치하는 시험 범위별 우선순위를 확인합니다,인창동|중등|영어|내신|과외,인창동|중등|영어|내신|과외,인창동|중등|영어|내신|과외,true,정상
region,상동,,,중등,수학,true,상동 중등 수학 내신과외,상동중등수학내신과외,상동중등수학내신과외,상동 중등 수학 내신과외 이해와 적용의 순서를 분명하게 잡는 학습 기록을 활용하는 방법을 정리합니다,상동|중등|수학|내신|과외,상동|중등|수학|내신|과외,상동|중등|수학|내신|과외,true,정상
region,봉곡동,,,중등,과학,true,봉곡동 중등 과학 내신과외,봉곡동중등과학내신과외,봉곡동중등과학내신과외,봉곡동 중등 과학 내신과외 오답 관리까지 자연스럽게 연결하는 학습 기록을 활용하는 방법을 정리합니다,봉곡동|중등|과학|내신|과외,봉곡동|중등|과학|내신|과외,봉곡동|중등|과학|내신|과외,true,정상
region,오룡동,,,중등,국어,true,오룡동 중등 국어 내신과외,오룡동중등국어내신과외,오룡동중등국어내신과외,오룡동 중등 국어 내신과외 교과 진도와 취약 부분을 함께 확인하는 시험 범위별 우선순위를 확인합니다,오룡동|중등|국어|내신|과외,오룡동|중등|국어|내신|과외,오룡동|중등|국어|내신|과외,true,정상
region,두류동,,,중등,영수,true,두류동 중등 영수 내신과외,두류동중등영수내신과외,두류동중등영수내신과외,두류동 중등 영수 내신과외 집중 시간과 공부 분량을 알맞게 나누는 시험 범위별 우선순위를 확인합니다,두류동|중등|영수|내신|과외,두류동|중등|영수|내신|과외,두류동|중등|영수|내신|과외,true,정상
region,신탄진동,,,중학생,영어,true,신탄진동 중학생 영어 내신과외,신탄진동중학생영어내신과외,신탄진동중학생영어내신과외,신탄진동 중학생 영어 내신과외 반복 학습의 시점과 방법을 조정하는 시험 범위별 우선순위를 확인합니다,신탄진동|중학생|영어|내신|과외,신탄진동|중학생|영어|내신|과외,신탄진동|중학생|영어|내신|과외,true,정상
region,명장동,,,중학생,수학,true,명장동 중학생 수학 내신과외,명장동중학생수학내신과외,명장동중학생수학내신과외,명장동 중학생 수학 내신과외 과목별 공부 순서를 균형 있게 살펴보는 오답을 줄이는 과정을 살펴봅니다,명장동|중학생|수학|내신|과외,명장동|중학생|수학|내신|과외,명장동|중학생|수학|내신|과외,true,정상
region,상암동,,,중학생,과학,true,상암동 중학생 과학 내신과외,상암동중학생과학내신과외,상암동중학생과학내신과외,상암동 중학생 과학 내신과외 핵심 개념의 연결 관계를 다시 보는 교과 진도에 맞는 계획을 알아봅니다,상암동|중학생|과학|내신|과외,상암동|중학생|과학|내신|과외,상암동|중학생|과학|내신|과외,true,정상
region,어진동,,,중학생,국어,true,어진동 중학생 국어 내신과외,어진동중학생국어내신과외,어진동중학생국어내신과외,어진동 중학생 국어 내신과외 풀이 근거와 판단 순서를 꼼꼼히 살피는 집중과 휴식의 기준을 점검합니다,어진동|중학생|국어|내신|과외,어진동|중학생|국어|내신|과외,어진동|중학생|국어|내신|과외,true,정상
region,효문동,,,중학생,영수,true,효문동 중학생 영수 내신과외,효문동중학생영수내신과외,효문동중학생영수내신과외,효문동 중학생 영수 내신과외 집중 시간과 공부 분량을 알맞게 나누는 오답을 줄이는 과정을 살펴봅니다,효문동|중학생|영수|내신|과외,효문동|중학생|영수|내신|과외,효문동|중학생|영수|내신|과외,true,정상
region,북성동,,,고등,영어,true,북성동 고등 영어 내신과외,북성동고등영어내신과외,북성동고등영어내신과외,북성동 고등 영어 내신과외 질문과 설명 습관을 차분히 기르는 취약 부분을 보완하는 흐름을 알아봅니다,북성동|고등|영어|내신|과외,북성동|고등|영어|내신|과외,북성동|고등|영어|내신|과외,true,정상
region,화순군,,,고등,수학,true,화순군 고등 수학 내신과외,화순군고등수학내신과외,화순군고등수학내신과외,화순군 고등 수학 내신과외 과목별 공부 순서를 균형 있게 살펴보는 시험 범위별 우선순위를 확인합니다,화순군|고등|수학|내신|과외,화순군|고등|수학|내신|과외,화순군|고등|수학|내신|과외,true,정상
region,모현동,,,고등,과학,true,모현동 고등 과학 내신과외,모현동고등과학내신과외,모현동고등과학내신과외,모현동 고등 과학 내신과외 스스로 공부하는 기준을 조금씩 세우는 교과 진도에 맞는 계획을 알아봅니다,모현동|고등|과학|내신|과외,모현동|고등|과학|내신|과외,모현동|고등|과학|내신|과외,true,정상
region,영평동,,,고등,국어,true,영평동 고등 국어 내신과외,영평동고등국어내신과외,영평동고등국어내신과외,영평동 고등 국어 내신과외 매일 이어갈 수 있는 학습 리듬을 만드는 질문과 설명의 과정을 안내합니다,영평동|고등|국어|내신|과외,영평동|고등|국어|내신|과외,영평동|고등|국어|내신|과외,true,정상
region,대천동,,,고등,영수,true,대천동 고등 영수 내신과외,대천동고등영수내신과외,대천동고등영수내신과외,대천동 고등 영수 내신과외 집중 시간과 공부 분량을 알맞게 나누는 시험 범위별 우선순위를 확인합니다,대천동|고등|영수|내신|과외,대천동|고등|영수|내신|과외,대천동|고등|영수|내신|과외,true,정상
region,하소동,,,고등학생,영어,true,하소동 고등학생 영어 내신과외,하소동고등학생영어내신과외,하소동고등학생영어내신과외,하소동 고등학생 영어 내신과외 매일 이어갈 수 있는 학습 리듬을 만드는 내신 준비 방법을 알아봅니다,하소동|고등학생|영어|내신|과외,하소동|고등학생|영어|내신|과외,하소동|고등학생|영어|내신|과외,true,정상
region,영월군,,,고등학생,수학,true,영월군 고등학생 수학 내신과외,영월군고등학생수학내신과외,영월군고등학생수학내신과외,영월군 고등학생 수학 내신과외 과목별 공부 순서를 균형 있게 살펴보는 꾸준한 학습 기준을 알아봅니다,영월군|고등학생|수학|내신|과외,영월군|고등학생|수학|내신|과외,영월군|고등학생|수학|내신|과외,true,정상
region,월곶동,,,고등학생,과학,true,월곶동 고등학생 과학 내신과외,월곶동고등학생과학내신과외,월곶동고등학생과학내신과외,월곶동 고등학생 과학 내신과외 복습 주기와 학습량을 함께 조절하는 시험 범위별 우선순위를 확인합니다,월곶동|고등학생|과학|내신|과외,월곶동|고등학생|과학|내신|과외,월곶동|고등학생|과학|내신|과외,true,정상
region,낙동,,,고등학생,국어,true,낙동 고등학생 국어 내신과외,낙동고등학생국어내신과외,낙동고등학생국어내신과외,낙동 고등학생 국어 내신과외 핵심 개념의 연결 관계를 다시 보는 교과 진도에 맞는 계획을 알아봅니다,낙동|고등학생|국어|내신|과외,낙동|고등학생|국어|내신|과외,낙동|고등학생|국어|내신|과외,true,정상
region,청송중학교부동,,,고등학생,영수,true,청송중학교부동 고등학생 영수 내신과외,청송중학교부동고등학생영수내신과외,청송중학교부동고등학생영수내신과외,청송중학교부동 고등학생 영수 내신과외 복습 주기와 학습량을 함께 조절하는 과목별 접근법을 안내합니다,청송중학교부동|고등학생|영수|내신|과외,청송중학교부동|고등학생|영수|내신|과외,청송중학교부동|고등학생|영수|내신|과외,true,정상
region,본촌동,,,,,false,본촌동과외,본촌동과외,본촌동과외,본촌동과외 오답을 줄이는 과정을 살펴봅니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,본촌동|과외,본촌동|과외,본촌동|과외,true,정상
region,서호동,,,,영어,false,서호동 영어과외,서호동영어과외,서호동영어과외,서호동 영어과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,서호동|영어|과외,서호동|영어|과외,서호동|영어|과외,true,정상
region,대덕구,,,,수학,false,대덕구 수학과외,대덕구수학과외,대덕구수학과외,대덕구 수학과외 학습 습관을 현실적으로 조정하는 학습 기준을 정리합니다 학습 방향을 함께 살펴봅니다,대덕구|수학|과외,대덕구|수학|과외,대덕구|수학|과외,true,정상
region,용호동,,,,과학,false,용호동 과학과외,용호동과학과외,용호동과학과외,용호동 과학과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,용호동|과학|과외,용호동|과학|과외,용호동|과학|과외,true,정상
region,암사동,,,,국어,false,암사동 국어과외,암사동국어과외,암사동국어과외,암사동 국어과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,암사동|국어|과외,암사동|국어|과외,암사동|국어|과외,true,정상
region,종촌동,,,,영수,false,종촌동 영수과외,종촌동영수과외,종촌동영수과외,종촌동 영수과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,종촌동|영수|과외,종촌동|영수|과외,종촌동|영수|과외,true,정상
region,연암동,,,초등,,false,연암동 초등과외,연암동초등과외,연암동초등과외,연암동 초등과외 과목별 접근법을 안내합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,연암동|초등|과외,연암동|초등|과외,연암동|초등|과외,true,정상
region,효성동,,,초등학생,,false,효성동 초등학생과외,효성동초등학생과외,효성동초등학생과외,효성동 초등학생과외 학습 기준을 정리합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,효성동|초등학생|과외,효성동|초등학생|과외,효성동|초등학생|과외,true,정상
region,군동,,,중등,,false,군동 중등과외,군동중등과외,군동중등과외,군동 중등과외 주간 학습 흐름을 확인합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,군동|중등|과외,군동|중등|과외,군동|중등|과외,true,정상
region,전주시교동,,,중학생,,false,전주시교동 중학생과외,전주시교동중학생과외,전주시교동중학생과외,전주시교동 중학생과외 단기 목표와 누적 복습을 함께 배치하는 취약 부분을 보완하는 흐름을 알아봅니다,전주시교동|중학생|과외,전주시교동|중학생|과외,전주시교동|중학생|과외,true,정상
region,서귀포시,,,고등,,false,서귀포시 고등과외,서귀포시고등과외,서귀포시고등과외,서귀포시 고등과외 복습 계획을 구체화합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,서귀포시|고등|과외,서귀포시|고등|과외,서귀포시|고등|과외,true,정상
region,두정동,,,고등학생,,false,두정동 고등학생과외,두정동고등학생과외,두정동고등학생과외,두정동 고등학생과외 학습 기준을 정리합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,두정동|고등학생|과외,두정동|고등학생|과외,두정동|고등학생|과외,true,정상
region,제천시평동,,,초등,영어,false,제천시평동 초등 영어과외,제천시평동초등영어과외,제천시평동초등영어과외,제천시평동 초등 영어과외 어휘 복습과 독해 문제 접근 기준을 살펴봅니다 학습 방향을 함께 살펴봅니다,제천시평동|초등|영어|과외,제천시평동|초등|영어|과외,제천시평동|초등|영어|과외,true,정상
region,남동,,,초등,수학,false,남동 초등 수학과외,남동초등수학과외,남동초등수학과외,남동 초등 수학과외 학습 기준을 정리합니다 학습 방향을 함께 살펴봅니다 시험 준비을 함께 살펴봅니다,남동|초등|수학|과외,남동|초등|수학|과외,남동|초등|수학|과외,true,정상
region,경안동,,,초등,과학,false,경안동 초등 과학과외,경안동초등과학과외,경안동초등과학과외,경안동 초등 과학과외 과목별 공부 순서를 균형 있게 살펴보는 취약 부분을 보완하는 흐름을 알아봅니다,경안동|초등|과학|과외,경안동|초등|과학|과외,경안동|초등|과학|과외,true,정상
region,신성동,,,초등,국어,false,신성동 초등 국어과외,신성동초등국어과외,신성동초등국어과외,신성동 초등 국어과외 국어 독해와 서술형 답안의 학습 방향을 정리합니다 시험 준비을 함께 살펴봅니다,신성동|초등|국어|과외,신성동|초등|국어|과외,신성동|초등|국어|과외,true,정상
